Palestrante;Minibio
Adriana Fernandes Morais Martins;Adriana Martins é historiadora, escritora e tradutora. Ela quem traduziu, para o francês e inglês, o primeiro volume de seu romance de estreia, Berenice da Capadócia: a jornada do não-herói.
;
Adriana Machado;Intérprete de conferências há 14 anos. Experiente em todas as modalidades de interpretação: simultânea, consecutiva, sussurrada, acompanhamento em diversos formatos, além de todas as atividades de interpretação relacionadas a pesquisas de mercado.
;
Aldo Vidor;Profissional com sólida experiência em Interpretação Simultânea, Consecutiva e Acompanhamento tanto presencialmente quanto através de ferramentas remotas (RSI), bem como em Tradução Técnica/Literária. Formou-se em Interpretação de Conferência pela PUC/SP, Bacharelado e Licenciatura em Geografia pela FFLCH/USP e concluiu cursos em renomadas instituições, como a Universidade de Edimburgo, na Escócia. É membro efetivo da APIC desde 2020 com os idiomas Português (A), Inglês e Espanhol (B)
;
Alessandra Harmel;Tradutora Pública e Intérprete Comercial nomeada e em função ativa desde o ano 2000. Professora Mestre em Cursos de Bacharelado em Tradução, Interpretação e Língua Inglesa na FMU e Uninove (Universidade Nove de Julho). Docente de Graduação e Pós Graduação nas áreas de Tradução, Letras e de Administração de Empresas e Ciências Contábeis na Universidade Anhanguera. Possui graduação em Direito pela Pontifícia Universidade Católica de São Paulo (1987), Licenciatura em Língua Inglesa pela Universidade Mackenzie (1993), Pós Graduação em Tradução pelo Centro Universitário Ibero Americano (Universidade Anhanguera - 2011) e Pós Graduação em Metodologias e Gestão de Educação à Distância Universidade Anhanguera (Dezembro de 2012). Mestrado em Estudos da Tradução pelo Departamento de Letras Modernas da Faculdade de Filosofia, Letras e Ciências Humanas (FFLCH) da Universidade de São Paulo (2018) e Pós Graduação em Direito Empresarial e Processo Civil pela FMU (2021).
;
Aline Tomasuolo;Aline Tomasuolo é tradutora desde 2012, mestre em Linguística Aplicada e Estudos da Linguagem (PUC-SP) com a tese de mestrado: “É possível distinguir a tradução automática da tradução humana? Uma perspectiva baseada em corpus e aprendizagem de máquina”. Também é formada em Letras Português e Inglês (Mackenzie), especializada em Tradução Jurídica (IASP), Tradução Financeira (APIMEC) e Liderança & Inglês Corporativo (NYU). Fundou a Express Comunicações, empresa especializada em traduções técnicas e certificadas com uma metodologia sistemática e inovadora de controle de qualidade. Presta consultoria nas áreas de treinamento em tradução, CAT tools, captação de tradutores e controle de qualidade.
;
Alison Entrekin;A australiana Alison Entrekin traduz obras de ficção brasileiras para o inglês, entre os quais Budapeste, de Chico Buarque, Cidade de Deus, de Paulo Lins, Perto do coração selvagem, de Clarice Lispector e O meu pé de laranja lima, de José Mauro de Vasconcelos. Em 2019, Alison recebeu o NSW Premier’s Translation Prize e Medalha PEN Austrália, pelo conjunto da obra. Atualmente prepara uma nova tradução para o inglês de Grande Sertão: Veredas, de João Guimarães Rosa, com apoio do Itaú Cultural, que já lhe rendeu o AAWP Translators’ Prize de 2022.
;
Amanda Moura;Fundadora da escola Amanda Moura Editorial, é professora nas áreas de tradução, revisão de textos e produção textual e mediadora de um clube de leitura. Tradutora e revisora, no YouTube.com/amandamouraeditorial ministra aulas sobre temas de interesse de profissionais do texto e do audiovisual e entrevista convidados. É formada em Letras – Tradução e Interpretação (Unibero), mestra em Linguística Aplicada e Estudos da Linguagem (PUC-SP) e cursa Teatro no Teatro Escola Macunaíma.
;
