Origem;Título;Palestrante;Free;Tradução;Interpretação;Revisão;Ferramentas;Geral;Língua;Cuidados;Redes Sociais;Dublagem;Legendagem;Literária;Jogos;Jurídica;Médica;Técnica;Cursos;Links
1ª PAL. DE 2021;Tradução de musicais;Victor Mühlethaler;;x;;;;;;;;x;;;;;;;;https://translators101.com.br/video/traducao-musicais-victor/
CULT-Estácio;Tradução de textos da área médica: uma receita de sucesso;Ana Julia Perrotti;x;x;;;;;;;;;;;;;x;;;https://translators101.com.br/video/traducao-textos-medicos-cult/
CULT-Estácio;Como se especializar em tradução audiovisual;César Alarcón;x;x;;;;;;;;x;x;;;;;;;https://translators101.com.br/video/traducao-audiovisual-cesar-alarcon/
CULT-Estácio;Localização em marketing: mais do que apenas criatividade;Juliana Lima;x;x;;;;x;;;;;;;;;;;;https://translators101.com.br/video/localizacao-marketing-juliana-lima/
CULT-Estácio;A importância da especialização na tradução da área médica;Luciana Bonancio;x;x;;;;;;;;;;;;;x;;;https://translators101.com.br/video/especializacao-traducao-medica/
Curso SDL Studio;Parte 1;BabelDGT;;x;;;;;;;;;;;;;;;x;https://translators101.com.br/video/curso-oficial-de-sdl-studio/
Curso SDL Studio;Parte 2;BabelDGT;;x;;;;;;;;;;;;;;;x;https://translators101.com.br/video/curso-oficial-de-sdl-studio-parte-2/
Curso SDL Studio;Intermediário;BabelDGT;;x;;;;;;;;;;;;;;;x;https://translators101.com.br/video/curso-de-sdl-studio-intermediario/
Dica;Pausa;Renata Cassemiro;;x;x;;;x;;x;;;;;;;;;;https://translators101.com.br/video/pausa-renata-cassemiro/
Dica;Celular;Renata Cassemiro;;x;x;;;x;;x;;;;;;;;;;https://translators101.com.br/video/celular-renata-cassemiro/
Dica;Monitor;Renata Cassemiro;;x;x;;;x;;x;;;;;;;;;;https://translators101.com.br/video/monitor-renata-cassemiro/
Dica;Alongamento;Renata Cassemiro;;x;x;;;x;;x;;;;;;;;;;https://translators101.com.br/video/alongamento-renata-cassemiro/
